1 257.000 202.000
2 301.000 227.000
3 235.000 88.000
4 194.000 295.000
5 286.000 202.000
6 216.000 36.000
7 288.000 103.000
8 317.000 103.000
9 260.000 152.000
10 288.000 152.000
11 177.000 222.000
12 192.000 247.000
13 187.000 36.000
14 148.000 320.000
15 274.000 127.000
16 259.000 252.000
17 214.000 175.000
18 164.000 296.000
19 164.000 121.000
20 178.000 271.000
21 235.000 138.000
22 237.000 270.000
23 133.000 198.000
24 300.000 178.000
25 206.000 89.000
26 209.000 320.000
27 315.000 203.000
28 238.000 320.000
29 358.000 178.000
30 287.000 252.000
31 223.000 295.000
32 252.000 295.000
33 181.000 321.000
34 289.000 302.000
35 274.000 277.000
36 245.000 35.000
37 267.000 320.000
38 302.000 127.000
39 316.000 252.000
40 220.000 64.000
41 344.000 203.000
42 263.000 89.000
43 330.000 228.000
44 273.000 228.000
45 346.000 152.000
46 332.000 127.000
47 329.000 178.000
48 250.000 113.000
49 195.000 195.000
50 303.000 277.000
51 278.000 64.000
52 75.000 131.000
53 146.000 174.000
54 175.000 174.000
55 158.000 44.000
56 88.000 260.000
57 226.000 202.000
58 133.000 73.000
59 85.000 181.000
60 208.000 270.000
61 135.000 122.000
62 128.000 45.000
63 243.000 177.000
64 243.000 227.000
65 179.000 96.000
66 99.000 292.000
67 208.000 147.000
68 119.000 98.000
69 63.000 163.000
70 72.000 208.000
71 124.000 257.000
72 94.000 153.000
73 115.000 176.000
74 104.000 126.000
75 206.000 222.000
76 104.000 202.000
77 149.000 97.000
78 151.000 145.000
79 129.000 297.000
80 221.000 113.000
81 147.000 223.000
82 122.000 148.000
83 222.000 245.000
84 302.000 78.000
85 194.000 121.000
86 179.000 146.000
87 249.000 64.000
88 271.000 178.000
89 147.000 273.000
90 318.000 152.000
91 47.000 188.000
92 90.000 231.000
93 119.000 227.000
94 104.000 74.000
95 163.000 247.000
96 273.000 36.000
97 161.000 198.000
98 163.000 72.000
99 191.000 65.000
